0	1	52
0	2	113
0	3	186
0	4	15
0	5	108
0	6	130
0	7	62
0	8	62
0	9	123
0	10	49
0	11	5
0	12	3
0	13	39
0	14	109
0	15	93
0	16	146
0	17	97
0	18	109
0	19	16
0	20	74
1	0	147
1	2	62
1	3	93
1	4	183
1	5	147
1	6	89
1	7	115
1	8	134
1	9	0
1	10	110
1	11	62
1	12	84
1	13	95
1	14	191
1	15	139
1	16	191
1	17	126
1	18	81
1	19	7
1	20	171
2	0	7
2	1	90
2	3	99
2	4	153
2	5	10
2	6	21
2	7	19
2	8	15
2	9	174
2	10	37
2	11	8
2	12	150
2	13	27
2	14	76
2	15	182
2	16	8
2	17	34
2	18	72
2	19	17
2	20	73
3	0	84
3	1	103
3	2	42
3	4	41
3	5	109
3	6	151
3	7	153
3	8	31
3	9	188
3	10	82
3	11	100
3	12	167
3	13	68
3	14	111
3	15	113
3	16	176
3	17	102
3	18	141
3	19	92
3	20	156
4	0	7
4	1	16
4	2	145
4	3	177
4	5	91
4	6	183
4	7	88
4	8	48
4	9	73
4	10	25
4	11	74
4	12	84
4	13	164
4	14	55
4	15	178
4	16	60
4	17	181
4	18	192
4	19	170
4	20	81
5	0	132
5	1	130
5	2	49
5	3	188
5	4	12
5	6	157
5	7	111
5	8	179
5	9	31
5	10	41
5	11	46
5	12	57
5	13	140
5	14	29
5	15	104
5	16	159
5	17	186
5	18	74
5	19	173
5	20	78
6	0	60
6	1	112
6	2	41
6	3	73
6	4	177
6	5	182
6	7	42
6	8	6
6	9	85
6	10	35
6	11	23
6	12	121
6	13	139
6	14	86
6	15	121
6	16	132
6	17	163
6	18	102
6	19	82
6	20	80
7	0	115
7	1	148
7	2	137
7	3	12
7	4	147
7	5	164
7	6	106
7	8	187
7	9	108
7	10	18
7	11	136
7	12	105
7	13	61
7	14	55
7	15	46
7	16	74
7	17	90
7	18	79
7	19	33
7	20	92
8	0	124
8	1	107
8	2	32
8	3	122
8	4	119
8	5	72
8	6	58
8	7	115
8	9	76
8	10	26
8	11	180
8	12	58
8	13	139
8	14	167
8	15	161
8	16	152
8	17	86
8	18	181
8	19	94
8	20	118
9	0	63
9	1	40
9	2	129
9	3	174
9	4	35
9	5	176
9	6	108
9	7	39
9	8	195
9	10	73
9	11	101
9	12	9
9	13	42
9	14	122
9	15	15
9	16	36
9	17	19
9	18	187
9	19	119
9	20	6
10	0	175
10	1	185
10	2	4
10	3	63
10	4	90
10	5	140
10	6	58
10	7	67
10	8	175
10	9	45
10	11	166
10	12	55
10	13	82
10	14	119
10	15	52
10	16	63
10	17	159
10	18	127
10	19	93
10	20	167
11	0	107
11	1	70
11	2	64
11	3	174
11	4	143
11	5	86
11	6	53
11	7	190
11	8	106
11	9	22
11	10	31
11	12	116
11	13	91
11	14	164
11	15	137
11	16	142
11	17	66
11	18	197
11	19	152
11	20	129
12	0	41
12	1	189
12	2	176
12	3	48
12	4	103
12	5	198
12	6	80
12	7	175
12	8	81
12	9	11
12	10	45
12	11	38
12	13	14
12	14	173
12	15	39
12	16	178
12	17	39
12	18	24
12	19	178
12	20	66
13	0	49
13	1	27
13	2	186
13	3	162
13	4	4
13	5	131
13	6	176
13	7	131
13	8	133
13	9	81
13	10	63
13	11	126
13	12	53
13	14	63
13	15	91
13	16	58
13	17	81
13	18	112
13	19	40
13	20	33
14	0	19
14	1	194
14	2	78
14	3	30
14	4	38
14	5	174
14	6	52
14	7	132
14	8	188
14	9	9
14	10	173
14	11	179
14	12	142
14	13	137
14	15	18
14	16	118
14	17	84
14	18	8
14	19	108
14	20	78
15	0	33
15	1	135
15	2	114
15	3	189
15	4	194
15	5	172
15	6	6
15	7	58
15	8	156
15	9	88
15	10	42
15	11	163
15	12	30
15	13	57
15	14	150
15	16	69
15	17	99
15	18	136
15	19	132
15	20	136
16	0	129
16	1	59
16	2	90
16	3	110
16	4	178
16	5	72
16	6	146
16	7	98
16	8	85
16	9	138
16	10	75
16	11	121
16	12	103
16	13	27
16	14	99
16	15	125
16	17	188
16	18	31
16	19	21
16	20	93
17	0	148
17	1	15
17	2	64
17	3	74
17	4	81
17	5	15
17	6	75
17	7	47
17	8	129
17	9	86
17	10	70
17	11	19
17	12	51
17	13	139
17	14	158
17	15	67
17	16	38
17	18	40
17	19	18
17	20	147
18	0	184
18	1	148
18	2	148
18	3	92
18	4	143
18	5	63
18	6	196
18	7	101
18	8	153
18	9	0
18	10	143
18	11	36
18	12	30
18	13	128
18	14	86
18	15	145
18	16	158
18	17	149
18	19	27
18	20	24
19	0	49
19	1	84
19	2	50
19	3	13
19	4	151
19	5	126
19	6	137
19	7	118
19	8	74
19	9	147
19	10	140
19	11	152
19	12	40
19	13	37
19	14	198
19	15	94
19	16	185
19	17	23
19	18	73
19	20	140
20	0	28
20	1	183
20	2	39
20	3	183
20	4	1
20	5	137
20	6	89
20	7	142
20	8	43
20	9	63
20	10	131
20	11	170
20	12	111
20	13	106
20	14	136
20	15	47
20	16	111
20	17	132
20	18	164
20	19	71
