01	0	1	0-1	81	1346	109026
01	0	1	0-2-1	81	2794	226314
02	0	2	0-2	42	2024	85008
02	0	2	0-1-2	42	2116	88872
03	0	3	0-3	92	3414	314088
03	0	3	0-1-7-6-4-3	92	5109	470028
04	0	4	0-1-7-6-4	40	4261	170440
04	0	4	0-3-4	40	4262	170480
05	0	5	0-2-5	92	4397	404524
05	0	5	0-1-2-5	92	4489	412988
06	0	6	0-1-7-6	28	3456	96768
06	0	6	0-2-1-7-6	28	4904	137312
07	0	7	0-1-7	68	2578	175304
07	0	7	0-2-1-7	68	4026	273768
08	0	8	0-1-7-9-8	59	3897	229923
08	0	8	0-2-1-7-9-8	59	5345	315355
09	0	9	0-1-7-9	78	3355	261690
09	0	9	0-2-1-7-9	78	4803	374634
010	0	10	0-1-7-9-11-10	25	4641	116025
010	0	10	0-1-7-9-13-10	25	4654	116350
011	0	11	0-1-7-9-11	37	4346	160802
011	0	11	0-1-7-9-13-10-11	37	4949	183113
012	0	12	0-1-7-9-13-12	82	4600	377200
012	0	12	0-1-7-9-11-12	82	5450	446900
013	0	13	0-1-7-9-13	4	4089	16356
013	0	13	0-1-7-9-11-10-13	4	5206	20824
10	1	0	1-0	52	1346	69992
10	1	0	1-2-0	52	2794	145288
12	1	2	1-2	4	770	3080
12	1	2	1-0-2	4	3370	13480
13	1	3	1-7-6-4-3	25	3763	94075
13	1	3	1-0-3	25	4760	119000
14	1	4	1-7-6-4	95	2915	276925
14	1	4	1-2-5-4	95	4804	456380
15	1	5	1-2-5	28	3143	88004
15	1	5	1-7-9-8-5	28	3830	107240
16	1	6	1-7-6	82	2110	173020
16	1	6	1-2-5-4-6	82	5609	459938
17	1	7	1-7	75	1232	92400
17	1	7	1-2-5-8-9-7	75	5741	430575
18	1	8	1-7-9-8	22	2551	56122
18	1	8	1-2-5-8	22	4422	97284
19	1	9	1-7-9	24	2009	48216
19	1	9	1-2-5-8-9	24	4964	119136
110	1	10	1-7-9-11-10	77	3295	253715
110	1	10	1-7-9-13-10	77	3308	254716
111	1	11	1-7-9-11	64	3000	192000
111	1	11	1-7-9-13-10-11	64	3603	230592
112	1	12	1-7-9-13-12	15	3254	48810
112	1	12	1-7-9-11-12	15	4104	61560
113	1	13	1-7-9-13	46	2743	126178
113	1	13	1-7-9-11-10-13	46	3860	177560
20	2	0	2-0	14	2024	28336
20	2	0	2-1-0	14	2116	29624
21	2	1	2-1	65	770	50050
21	2	1	2-0-1	65	3370	219050
23	2	3	2-1-7-6-4-3	51	4533	231183
23	2	3	2-5-4-3	51	4882	248982
24	2	4	2-1-7-6-4	2	3685	7370
24	2	4	2-5-4	2	4034	8068
25	2	5	2-5	5	2373	11865
25	2	5	2-1-7-9-8-5	5	4600	23000
26	2	6	2-1-7-6	98	2880	282240
26	2	6	2-5-4-6	98	4839	474222
27	2	7	2-1-7	98	2002	196196
27	2	7	2-0-1-7	98	4602	450996
28	2	8	2-1-7-9-8	34	3321	112914
28	2	8	2-5-8	34	3652	124168
29	2	9	2-1-7-9	98	2779	272342
29	2	9	2-5-8-9	98	4194	411012
210	2	10	2-1-7-9-11-10	2	4065	8130
210	2	10	2-1-7-9-13-10	2	4078	8156
211	2	11	2-1-7-9-11	85	3770	320450
211	2	11	2-1-7-9-13-10-11	85	4373	371705
212	2	12	2-1-7-9-13-12	29	4024	116696
212	2	12	2-5-12	29	4658	135082
213	2	13	2-1-7-9-13	60	3513	210780
213	2	13	2-1-7-9-11-10-13	60	4630	277800
30	3	0	3-0	81	3414	276534
30	3	0	3-4-6-7-1-0	81	5109	413829
31	3	1	3-4-6-7-1	74	3763	278462
31	3	1	3-0-1	74	4760	352240
32	3	2	3-4-6-7-1-2	41	4533	185853
32	3	2	3-4-5-2	41	4882	200162
34	3	4	3-4	33	848	27984
34	3	4	3-10-11-9-7-6-4	33	6362	209946
35	3	5	3-4-5	2	2509	5018
35	3	5	3-4-6-7-9-8-5	2	5129	10258
36	3	6	3-4-6	91	1653	150423
36	3	6	3-10-11-9-7-6	91	5557	505687
37	3	7	3-4-6-7	7	2531	17717
37	3	7	3-10-11-9-7	7	4679	32753
38	3	8	3-4-5-8	47	3788	178036
38	3	8	3-4-6-7-9-8	47	3850	180950
39	3	9	3-4-6-7-9	91	3308	301028
39	3	9	3-10-11-9	91	3902	355082
310	3	10	3-10	93	2616	243288
310	3	10	3-4-6-7-9-11-10	93	4594	427242
311	3	11	3-10-11	24	2911	69864
311	3	11	3-4-6-7-9-11	24	4299	103176
312	3	12	3-10-13-12	79	3692	291668
312	3	12	3-10-11-12	79	4015	317185
313	3	13	3-10-13	24	3181	76344
313	3	13	3-4-6-7-9-13	24	4042	97008
40	4	0	4-6-7-1-0	49	4261	208789
40	4	0	4-3-0	49	4262	208838
41	4	1	4-6-7-1	55	2915	160325
41	4	1	4-5-2-1	55	4804	264220
42	4	2	4-6-7-1-2	21	3685	77385
42	4	2	4-5-2	21	4034	84714
43	4	3	4-3	12	848	10176
43	4	3	4-6-7-9-11-10-3	12	6362	76344
45	4	5	4-5	88	1661	146168
45	4	5	4-6-7-9-8-5	88	4281	376728
46	4	6	4-6	56	805	45080
46	4	6	4-5-8-9-7-6	56	5137	287672
47	4	7	4-6-7	42	1683	70686
47	4	7	4-5-8-9-7	42	4259	178878
48	4	8	4-5-8	65	2940	191100
48	4	8	4-6-7-9-8	65	3002	195130
49	4	9	4-6-7-9	57	2460	140220
49	4	9	4-5-8-9	57	3482	198474
410	4	10	4-3-10	46	3464	159344
410	4	10	4-6-7-9-11-10	46	3746	172316
411	4	11	4-6-7-9-11	93	3451	320943
411	4	11	4-3-10-11	93	3759	349587
412	4	12	4-6-7-9-13-12	54	3705	200070
412	4	12	4-5-12	54	3946	213084
413	4	13	4-6-7-9-13	12	3194	38328
413	4	13	4-3-10-13	12	4029	48348
50	5	0	5-2-0	12	4397	52764
50	5	0	5-2-1-0	12	4489	53868
51	5	1	5-2-1	63	3143	198009
51	5	1	5-8-9-7-1	63	3830	241290
52	5	2	5-2	94	2373	223062
52	5	2	5-8-9-7-1-2	94	4600	432400
53	5	3	5-4-3	35	2509	87815
53	5	3	5-8-9-7-6-4-3	35	5129	179515
54	5	4	5-4	49	1661	81389
54	5	4	5-8-9-7-6-4	49	4281	209769
56	5	6	5-4-6	59	2466	145494
56	5	6	5-8-9-7-6	59	3476	205084
57	5	7	5-8-9-7	5	2598	12990
57	5	7	5-4-6-7	5	3344	16720
58	5	8	5-8	83	1279	106157
58	5	8	5-12-13-9-8	83	4072	337976
59	5	9	5-8-9	7	1821	12747
59	5	9	5-12-13-9	7	3530	24710
510	5	10	5-8-9-11-10	96	3107	298272
510	5	10	5-8-9-13-10	96	3120	299520
511	5	11	5-8-9-11	93	2812	261516
511	5	11	5-12-11	93	3389	315177
512	5	12	5-12	10	2285	22850
512	5	12	5-8-9-13-12	10	3066	30660
513	5	13	5-8-9-13	75	2555	191625
513	5	13	5-12-13	75	2796	209700
